itl2_code,itl2_name,year,median_all,median_newbuild,median_existing,median_detached,median_semi_detached,median_terraced,median_flat,n_sales
TLD3,Greater Manchester,2022,222500.0,278823.0,215000.0,362500.0,240000.0,173000.0,185150.0,39283
TLD4,Lancashire,2022,179950.0,262500.0,167000.0,315000.0,186000.0,123000.0,110000.0,26863
TLD6,Cheshire,2022,265000.0,339995.0,250000.0,396995.0,242250.0,185000.0,140000.0,17360
TLD7,Merseyside,2022,183000.0,239995.0,179000.0,330000.0,205000.0,135000.0,127000.0,21504
TLE1,East Yorkshire and Northern Lincolnshire,2022,176250.0,237500.0,166000.0,295000.0,175000.0,126500.0,92250.0,16341
TLE2,North Yorkshire,2022,275000.0,314972.5,270000.0,400000.0,255000.0,225000.0,176125.0,14793
TLE3,South Yorkshire,2022,178000.0,224995.0,170000.0,293000.0,171000.0,135000.0,130000.0,19976
TLE4,West Yorkshire,2022,195000.0,260000.0,185000.0,350000.0,210000.0,150000.0,130000.0,33779
TLF1,Derbyshire and Nottinghamshire,2022,223000.0,277000.0,209950.0,325000.0,201000.0,163000.0,130000.0,36716
TLF2,"Leicestershire, Rutland and Northamptonshire",2022,271000.0,319995.0,260000.0,389995.0,260000.0,219950.0,143620.0,29506
TLF3,Lincolnshire,2022,229995.0,251000.0,225000.0,300000.0,195000.0,160000.0,113250.0,14221
TLG1,"Herefordshire, Worcestershire and Warwickshire",2022,292000.0,340000.0,280000.0,425000.0,272500.0,225000.0,153250.0,23344
TLG2,Shropshire and Staffordshire,2022,230000.0,280000.0,216000.0,347500.0,212000.0,165000.0,115000.0,26459
TLG3,West Midlands,2022,220000.0,255000.0,216000.0,389997.5,236000.0,193500.0,145000.0,32691
TLH2,Bedfordshire and Hertfordshire,2022,400000.0,429950.0,395000.0,630000.0,426000.0,375000.0,250000.0,29174
TLH3,Essex,2022,361000.0,394995.0,357500.0,522500.0,380000.0,330000.0,225000.0,31336
TLH4,Cambridgeshire and Peterborough,2022,325000.0,382495.0,303000.0,430000.0,295000.0,260000.0,216950.0,14756
TLH5,Norfolk,2022,280000.0,325000.0,273000.0,375000.0,260000.0,221000.0,155000.0,16541
TLH6,Suffolk,2022,295000.0,340000.0,285000.0,425000.0,283000.0,230000.0,160000.0,13392
TLI3,Inner London - West,2022,825000.0,998000.0,800000.0,3806406.0,1855250.0,1375000.0,705600.0,15521
TLI4,Inner London - East,2022,530000.0,580000.0,524220.0,1295000.0,907000.0,760000.0,479000.0,24848
TLI5,Outer London - East and North East,2022,450000.0,435000.0,450000.0,735000.0,530000.0,475000.0,335000.0,19983
TLI6,Outer London - South,2022,475000.0,450000.0,480000.0,910000.0,630000.0,505000.0,340000.0,17809
